id,neighbourhood,room_type,price,number_of_reviews,reviews_per_month,calculated_host_listings_count,availability_365
12318,Upper West Side,Private room,135,81,0.69,1,273
12343,Harlem,Entire home/apt,150,97,0.84,1,309
12627,Prospect-Lefferts Gardens,Entire home/apt,150,11,0.49,1,95
12937,Long Island City,Private room,130,248,2.25,1,215
12940,Bedford-Stuyvesant,Entire home/apt,110,61,0.52,1,265
13050,Bedford-Stuyvesant,Entire home/apt,115,11,0.1,1,0
13394,Fort Greene,Private room,80,135,1.16,2,192
13808,Bedford-Stuyvesant,Private room,80,112,1.01,3,251
14287,Upper West Side,Entire home/apt,151,73,0.63,1,302
14290,Williamsburg,Entire home/apt,228,82,0.7,1,140
14314,Greenpoint,Entire home/apt,144,328,2.82,1,234
14322,Kips Bay,Entire home/apt,200,19,0.22,1,257
14377,Williamsburg,Entire home/apt,150,105,0.9,1,30
14991,Lower East Side,Private room,110,19,0.17,1,301
15220,Hell's Kitchen,Private room,69,289,2.49,2,294
15338,Greenpoint,Private room,49,138,1.19,3,320
15341,SoHo,Entire home/apt,180,21,0.3,1,154
15385,Williamsburg,Private room,80,42,0.38,1,263
15396,Chelsea,Entire home/apt,375,5,0.12,1,180
15711,Upper East Side,Entire home/apt,250,66,0.57,2,231
16326,Prospect Heights,Entire home/apt,200,143,1.33,2,297
16338,Clinton Hill,Private room,55,27,0.23,2,292
16421,Hell's Kitchen,Private room,52,191,1.65,1,191
16458,Park Slope,Entire home/apt,225,4,0.16,1,0
16580,East Village,Private room,80,338,4.72,2,72
16595,Williamsburg,Entire home/apt,275,148,1.4,1,362
16821,East Village,Private room,99,106,1.26,2,336
16974,East Harlem,Entire home/apt,225,190,1.64,1,215
17037,East Village,Entire home/apt,230,49,0.43,1,116
17092,Hell's Kitchen,Private room,51,23,0.43,1,88
17693,Washington Heights,Private room,65,49,1.6,2,336
17747,Clinton Hill,Private room,105,105,0.92,1,304
18127,East Village,Entire home/apt,190,21,0.2,1,224
18152,Upper East Side,Private room,200,142,1.5,1,322
18198,Woodside,Private room,70,25,0.22,1,324
18590,Fort Greene,Private room,95,143,1.28,1,132
18728,Chelsea,Private room,150,167,1.65,1,295
18764,Williamsburg,Private room,145,61,0.54,4,238
19159,Harlem,Entire home/apt,110,54,0.49,1,209
19169,Lower East Side,Entire home/apt,285,70,0.62,1,328
19282,Flatbush,Entire home/apt,130,16,0.15,1,38
19319,Lower East Side,Private room,94,94,0.84,1,188
19601,Brooklyn Heights,Entire home/apt,800,25,0.24,1,7
19812,Williamsburg,Entire home/apt,105,61,0.53,1,272
20299,East Village,Private room,60,194,1.73,1,26
20300,East Village,Private room,50,2,0.05,1,0
20611,Williamsburg,Private room,85,174,1.54,4,288
20724,Bushwick,Private room,65,24,0.28,1,317
20734,Prospect Heights,Entire home/apt,131,166,3.4,1,207
20755,Clinton Hill,Private room,98,16,0.2,6,185
20853,Prospect Heights,Entire home/apt,250,21,0.3,1,158
20913,Williamsburg,Entire home/apt,100,168,1.57,1,0
21293,Bushwick,Entire home/apt,105,118,1.05,2,9
21456,Upper West Side,Entire home/apt,140,81,0.71,1,198
21644,Harlem,Private room,89,1,0.11,1,365
21794,Chelsea,Private room,98,30,0.27,2,364
22911,Bedford-Stuyvesant,Entire home/apt,125,139,1.23,2,311
22918,Harlem,Private room,60,11,0.87,3,219
23135,Carroll Gardens,Entire home/apt,175,233,2.09,3,342
23501,Washington Heights,Private room,65,68,0.6,1,312
23686,West Village,Entire home/apt,500,46,0.55,2,243
24143,Williamsburg,Private room,101,335,3.02,1,152
24285,Park Slope,Entire home/apt,220,88,0.79,1,9
25235,Bedford-Stuyvesant,Entire home/apt,125,162,1.46,2,137
25406,Williamsburg,Entire home/apt,80,29,0.4,1,222
25696,Harlem,Private room,100,170,1.61,1,346
26012,Gowanus,Entire home/apt,200,19,0.2,1,208
26362,Hell's Kitchen,Private room,59,334,3,2,279
26520,Clinton Hill,Private room,125,19,0.2,6,250
26559,East Village,Entire home/apt,140,12,0.13,1,164
26785,South Slope,Entire home/apt,120,467,4.22,2,192
26933,East Village,Entire home/apt,350,7,0.06,4,298
26954,Kips Bay,Entire home/apt,199,38,0.38,1,260
26969,Williamsburg,Entire home/apt,325,324,3.01,1,107
27006,Upper West Side,Entire home/apt,235,27,0.27,1,199
27385,East Village,Entire home/apt,225,115,1.05,4,299
27531,South Slope,Private room,99,354,3.2,3,20
27644,Harlem,Entire home/apt,170,195,2.03,1,318
27659,South Slope,Entire home/apt,400,16,0.24,2,216
27759,Upper West Side,Entire home/apt,170,13,0.12,1,224
27883,East Village,Entire home/apt,100,25,0.23,1,0
28321,Prospect-Lefferts Gardens,Private room,75,9,0.08,1,324
28396,Williamsburg,Private room,90,9,0.08,1,245
28907,Upper East Side,Entire home/apt,150,21,0.19,1,189
29012,Washington Heights,Private room,85,36,0.33,1,307
29013,Bedford-Stuyvesant,Private room,70,63,0.58,2,310
29455,Harlem,Entire home/apt,120,155,1.42,3,213
29628,Clinton Hill,Private room,89,260,2.35,1,278
29683,East Village,Entire home/apt,185,73,0.66,1,209
30031,Greenpoint,Private room,50,193,1.86,1,0
30927,Lower East Side,Entire home/apt,105,32,0.29,1,16
31130,Hell's Kitchen,Private room,130,50,0.45,3,234
31555,West Village,Entire home/apt,115,26,0.25,1,12
31902,Flatlands,Private room,77,2,0.02,1,178
31994,Clinton Hill,Private room,76,426,3.89,3,275
32023,Bedford-Stuyvesant,Entire home/apt,125,227,2.09,2,163
32037,Clinton Hill,Private room,135,84,0.77,3,365
32100,Greenpoint,Entire home/apt,250,3,0.03,1,34
32289,Williamsburg,Entire home/apt,199,10,0.1,1,280
32331,Cobble Hill,Entire home/apt,140,4,0.04,1,0
32363,Flushing,Private room,140,1,0.01,1,1
32965,Bedford-Stuyvesant,Entire home/apt,115,124,1.72,2,170
32969,Williamsburg,Entire home/apt,160,11,0.11,1,188
33009,Williamsburg,Entire home/apt,195,240,2.19,1,214
33014,East Village,Entire home/apt,195,30,0.28,1,248
33223,Williamsburg,Private room,80,200,1.86,4,262
34760,Fort Greene,Private room,44,27,1.05,5,280
35526,West Village,Private room,156,79,0.74,1,307
36121,Prospect Heights,Private room,85,9,0.09,1,339
36133,Williamsburg,Private room,125,155,1.61,1,1
36442,Prospect Heights,Entire home/apt,115,4,0.05,1,269
36647,East Harlem,Private room,69,34,0.32,1,10
36703,West Village,Entire home/apt,225,134,1.24,1,312
36934,Williamsburg,Entire home/apt,125,27,0.25,1,189
38638,Upper East Side,Entire home/apt,219,126,1.16,2,290
38663,Boerum Hill,Entire home/apt,475,23,0.27,1,230
39267,Upper East Side,Entire home/apt,99,234,2.6,2,164
39282,Williamsburg,Private room,69,202,1.86,2,53
39593,Sunnyside,Private room,79,28,0.26,1,126
39704,Bedford-Stuyvesant,Entire home/apt,135,309,2.86,2,3
40039,DUMBO,Private room,250,14,0.13,1,189
40453,Upper East Side,Entire home/apt,250,4,0.08,1,365
41348,Gowanus,Entire home/apt,250,80,2.17,1,0
41513,Harlem,Entire home/apt,80,2,0.04,1,0
42580,Clinton Hill,Private room,70,294,3.47,3,336
42729,Carroll Gardens,Entire home/apt,165,150,1.4,3,342
42882,St. George,Private room,70,166,1.66,1,312
43957,Bushwick,Private room,50,47,0.94,1,37
44096,Highbridge,Private room,40,219,2.04,3,353
44161,Williamsburg,Entire home/apt,150,193,1.78,1,177
44212,East Village,Private room,125,84,0.78,4,310
44221,Financial District,Entire home/apt,196,114,1.06,1,0
44229,Fort Greene,Private room,110,213,2,2,321
44288,West Village,Entire home/apt,170,86,0.8,1,246
44506,Harlem,Entire home/apt,165,80,0.75,3,231
45393,West Village,Entire home/apt,150,38,0.36,1,225
45542,Harlem,Entire home/apt,100,18,1.79,1,0
45556,Fort Greene,Private room,65,206,1.92,2,0
45910,Ridgewood,Entire home/apt,350,10,0.11,5,365
45936,Morningside Heights,Private room,99,122,1.18,2,233
45940,Williamsburg,Entire home/apt,200,33,0.58,1,1
46544,Park Slope,Entire home/apt,150,52,0.5,1,18
46723,Bedford-Stuyvesant,Private room,90,126,1.17,4,343
46911,Prospect Heights,Private room,120,51,0.48,3,250
47199,Upper East Side,Private room,75,199,1.85,1,326
47362,Bedford-Stuyvesant,Entire home/apt,175,30,0.29,1,364
47370,Chelsea,Entire home/apt,125,3,0.03,1,0
47926,Hell's Kitchen,Entire home/apt,275,41,0.38,1,299
48719,Lower East Side,Entire home/apt,299,109,1.04,1,207
50447,South Slope,Entire home/apt,135,151,1.43,3,162
51438,Upper East Side,Private room,130,0,,2,0
51485,Lower East Side,Private room,83,285,2.69,1,7
51572,Chelsea,Private room,123,375,3.52,1,328
51850,Jamaica,Private room,55,52,0.49,2,365
53137,Hell's Kitchen,Entire home/apt,195,10,1.01,1,0
53196,Bedford-Stuyvesant,Private room,80,11,0.48,1,0
53469,Middle Village,Entire home/apt,98,33,0.31,5,240
53470,Ridgewood,Private room,140,6,0.06,5,365
53477,Middle Village,Entire home/apt,265,38,0.38,5,365
54158,Williamsburg,Entire home/apt,249,358,3.44,2,164
54453,Hell's Kitchen,Shared room,105,10,0.09,1,363
54466,Harlem,Private room,200,0,,1,365
54508,Prospect Heights,Private room,100,226,2.12,3,250
54544,Harlem,Entire home/apt,121,104,1,5,247
54626,Highbridge,Private room,45,138,1.45,3,323
54860,East Harlem,Private room,100,204,1.92,1,192
55467,Williamsburg,Entire home/apt,140,253,3.04,1,125
55498,Bedford-Stuyvesant,Private room,71,23,0.22,1,91
55668,NoHo,Private room,130,115,1.17,1,75
55737,West Village,Entire home/apt,199,129,1.22,1,286
55959,Williamsburg,Private room,69,82,1.13,2,60
55982,Fort Greene,Private room,68,37,0.35,1,0
56467,East Village,Entire home/apt,130,204,2.04,1,192
56525,Greenpoint,Entire home/apt,195,69,0.65,1,58
56859,Harlem,Private room,64,192,1.84,5,245
57166,Ditmars Steinway,Entire home/apt,140,17,0.16,1,292
57297,Cobble Hill,Entire home/apt,159,222,2.12,1,279
57468,East Village,Entire home/apt,189,205,1.96,1,0
57618,Hell's Kitchen,Entire home/apt,250,94,0.96,1,3
57740,East Village,Entire home/apt,239,7,0.07,1,351
57754,Flatiron District,Entire home/apt,305,108,1.09,1,201
57874,Harlem,Entire home/apt,155,222,2.1,2,232
58059,Harlem,Private room,60,458,4.58,2,258
58062,Windsor Terrace,Private room,135,21,0.26,1,272
58467,Roosevelt Island,Private room,120,17,0.3,1,341
59014,Lower East Side,Entire home/apt,150,41,0.39,1,244
59121,Ridgewood,Entire home/apt,140,1,0.01,5,365
59642,Greenpoint,Entire home/apt,135,69,0.67,1,12
59709,Chinatown,Entire home/apt,250,18,0.18,2,265
59855,Midtown,Entire home/apt,250,82,0.78,1,0
60164,SoHo,Entire home/apt,500,94,0.99,1,329
60457,Greenwich Village,Entire home/apt,225,10,0.1,1,91
60611,East Harlem,Entire home/apt,125,183,1.83,2,365
60666,Harlem,Private room,92,189,1.82,5,253
60673,Harlem,Private room,175,1,0.11,1,365
60680,East Village,Entire home/apt,99,127,1.22,1,320
60794,Upper West Side,Entire home/apt,195,4,0.04,1,0
60948,East Harlem,Entire home/apt,140,135,1.3,3,192
61167,Little Italy,Entire home/apt,135,21,0.2,1,0
61224,Chelsea,Entire home/apt,500,35,0.34,1,348
61406,Harlem,Private room,80,10,2.21,2,0
61492,Chinatown,Private room,120,171,1.8,2,353
61509,Midtown,Entire home/apt,110,92,0.9,1,140
62095,East Flatbush,Entire home/apt,65,238,2.3,1,2
62427,East Village,Entire home/apt,130,56,0.58,1,56
62430,Bushwick,Entire home/apt,99,111,2.13,1,68
62452,Tompkinsville,Private room,36,193,1.85,6,360
62461,Tompkinsville,Private room,37,147,1.44,6,0
62787,Tompkinsville,Private room,37,177,1.71,6,320
62891,East Village,Entire home/apt,175,185,1.78,2,326
62903,Chelsea,Entire home/apt,205,62,0.7,2,76
62925,Greenpoint,Entire home/apt,285,124,1.22,3,279
63299,Williamsburg,Private room,59,181,1.77,2,15
63320,Tompkinsville,Private room,36,333,3.19,6,340
63360,Astoria,Entire home/apt,99,441,4.5,1,226
63546,Kensington,Private room,39,45,0.46,2,365
63573,Park Slope,Private room,60,9,0.09,2,0
63588,Clason Point,Private room,90,0,,7,349
63610,Eastchester,Entire home/apt,105,38,0.5,13,365
63657,Bedford-Stuyvesant,Entire home/apt,135,248,2.39,2,11
63693,East Village,Entire home/apt,390,143,1.38,2,316
63719,Bedford-Stuyvesant,Private room,70,36,0.41,4,281
63913,Inwood,Private room,75,0,,2,323
64000,Williamsburg,Private room,60,14,0.14,4,362
64015,East Village,Entire home/apt,200,0,,1,0
64107,Crown Heights,Private room,100,279,2.69,1,301
64277,Bedford-Stuyvesant,Private room,70,18,0.22,4,189
64314,Crown Heights,Private room,110,50,3.55,1,0
64365,Crown Heights,Private room,60,227,2.27,2,287
64707,Little Italy,Entire home/apt,90,1,0.16,1,14
64837,East Village,Private room,68,203,1.96,2,86
65019,Upper West Side,Entire home/apt,115,210,2.1,1,261
65268,Bedford-Stuyvesant,Private room,75,64,0.67,1,68
65556,Williamsburg,Private room,60,0,,1,0
65562,East Village,Entire home/apt,129,5,0.15,1,231
65615,Williamsburg,Entire home/apt,130,49,0.48,1,152
65660,Williamsburg,Entire home/apt,95,132,1.27,1,46
65813,Harlem,Private room,75,20,0.26,1,364
65834,Park Slope,Entire home/apt,175,11,0.11,1,246
66008,Carroll Gardens,Entire home/apt,190,51,0.57,1,288
66026,Crown Heights,Private room,49,15,0.15,5,331
66251,East Village,Entire home/apt,212,67,1.31,1,51
66275,Lower East Side,Private room,95,109,1.11,3,364
66451,Williamsburg,Entire home/apt,140,9,0.11,1,254
66718,Harlem,Entire home/apt,135,187,1.87,1,189
66741,Park Slope,Entire home/apt,150,214,2.08,2,263
66974,Gowanus,Entire home/apt,190,69,0.79,2,258
67288,East Harlem,Entire home/apt,124,22,0.26,1,103
67299,Williamsburg,Entire home/apt,135,56,0.56,1,42
67397,Morningside Heights,Private room,122,93,0.93,1,246
68099,Upper West Side,Private room,109,104,1.05,2,364
68305,Harlem,Private room,85,64,0.68,1,318
68403,Bedford-Stuyvesant,Entire home/apt,145,127,1.25,2,72
68735,Upper West Side,Entire home/apt,195,30,0.32,1,249
68765,Carroll Gardens,Entire home/apt,250,106,1.34,3,272
68900,Greenpoint,Private room,125,6,0.1,1,325
68974,Little Italy,Entire home/apt,575,191,1.88,1,298
69894,Upper West Side,Entire home/apt,150,48,0.55,1,35
69921,Bushwick,Private room,70,47,0.49,1,203
70095,Inwood,Private room,90,120,1.27,1,132
70128,East Village,Private room,65,52,0.63,1,5
70609,East Village,Entire home/apt,500,48,0.48,4,297
71010,Washington Heights,Entire home/apt,250,32,0.43,2,276
71248,Chinatown,Entire home/apt,125,43,0.42,1,102
71366,West Village,Entire home/apt,200,39,0.44,1,251
71384,Greenpoint,Entire home/apt,229,50,0.5,1,188
71812,Kingsbridge,Entire home/apt,90,4,0.35,2,346
72190,Upper West Side,Entire home/apt,110,38,0.39,1,0
72265,Greenpoint,Private room,59,29,0.36,1,15
74073,Williamsburg,Entire home/apt,195,59,0.6,1,71
74240,Williamsburg,Entire home/apt,169,68,0.67,2,215
74333,East Harlem,Entire home/apt,113,26,0.27,3,253
74404,Harlem,Entire home/apt,250,31,0.31,1,78
74680,Astoria,Entire home/apt,115,198,2.01,1,257
74860,Greenpoint,Private room,55,1,0.01,1,0
75193,Williamsburg,Private room,69,220,2.17,2,8
75635,Lower East Side,Entire home/apt,150,286,2.81,1,191
76761,South Slope,Entire home/apt,169,398,3.97,3,182
77765,Greenpoint,Private room,179,36,0.36,28,79
77936,Hell's Kitchen,Private room,150,36,0.36,1,49
78919,Boerum Hill,Entire home/apt,135,6,0.1,1,0
79067,Clinton Hill,Entire home/apt,350,14,0.3,1,156
79782,Williamsburg,Private room,120,76,0.76,6,343
80493,East Village,Private room,71,182,1.81,1,200
80684,Greenpoint,Private room,349,8,0.09,28,60
80700,Greenpoint,Private room,349,7,0.07,28,60
80924,Park Slope,Entire home/apt,165,34,0.51,2,189
81739,Greenpoint,Private room,249,2,0.02,28,60
82549,Brooklyn Heights,Private room,100,66,0.68,2,0
82550,Brooklyn Heights,Entire home/apt,200,80,0.85,2,106
82638,East Village,Entire home/apt,169,240,2.4,1,276
82928,Bedford-Stuyvesant,Entire home/apt,185,46,1.07,1,248
83243,Bushwick,Entire home/apt,65,228,2.27,1,194
83446,Fort Greene,Entire home/apt,130,5,0.05,1,135
83722,Williamsburg,Entire home/apt,199,8,0.11,1,30
83847,East Village,Entire home/apt,225,33,0.33,1,0
84010,Greenpoint,Private room,179,13,0.14,28,81
84059,Crown Heights,Entire home/apt,150,5,0.05,1,0
84659,East Village,Entire home/apt,139,388,3.88,1,142
84905,Two Bridges,Private room,95,223,2.22,2,60
85094,Crown Heights,Entire home/apt,79,11,0.11,5,179
86215,Lower East Side,Entire home/apt,150,151,1.51,2,52
89427,Clinton Hill,Entire home/apt,650,0,,3,365
89621,Bedford-Stuyvesant,Entire home/apt,90,218,2.26,4,324
93313,Bedford-Stuyvesant,Entire home/apt,120,75,0.76,2,237
94035,Astoria,Private room,80,42,1.21,2,365
94209,Crown Heights,Entire home/apt,100,0,,1,365
94477,Bedford-Stuyvesant,Entire home/apt,175,370,3.74,1,204
94783,Crown Heights,Entire home/apt,120,104,1.04,1,272
95747,Williamsburg,Entire home/apt,140,13,0.13,1,0
95883,Bedford-Stuyvesant,Entire home/apt,200,4,0.07,1,9
96471,Clinton Hill,Private room,165,11,0.11,3,365
98330,Kips Bay,Entire home/apt,125,1,0.01,3,181
98663,Chelsea,Entire home/apt,130,19,0.19,1,189
99070,East Harlem,Shared room,65,131,1.31,2,0
99085,Fort Greene,Entire home/apt,123,15,0.15,1,189
100002,Washington Heights,Private room,67,136,1.37,1,296
100184,Queens Village,Private room,50,43,0.45,1,88
100186,Gowanus,Entire home/apt,130,98,0.99,1,35
101053,Williamsburg,Private room,100,31,0.31,1,0
102995,Upper West Side,Entire home/apt,212,45,0.46,1,35
103161,Williamsburg,Entire home/apt,190,124,1.76,1,359
103311,Greenpoint,Private room,599,9,0.09,28,60
103806,East Village,Entire home/apt,249,166,1.68,2,365
105469,Rockaway Beach,Private room,70,13,0.13,1,335
105510,Crown Heights,Entire home/apt,100,15,0.16,5,282
106363,Harlem,Private room,60,380,3.83,2,247
106647,Bedford-Stuyvesant,Entire home/apt,135,86,0.87,1,102
107630,Greenpoint,Entire home/apt,175,248,2.53,3,274
107895,Upper West Side,Entire home/apt,120,49,0.56,1,201
110739,Midtown,Entire home/apt,169,54,0.57,1,98
112100,Crown Heights,Entire home/apt,165,3,0.03,1,157
112304,Harlem,Private room,90,1,0.02,1,0
112359,Upper East Side,Entire home/apt,225,56,0.57,1,312
112435,Fort Greene,Private room,95,163,1.66,2,331
113265,Crown Heights,Private room,55,247,2.51,2,275
113945,Hell's Kitchen,Private room,85,116,1.17,1,174
114123,South Slope,Entire home/apt,199,27,0.28,2,223
114229,Lower East Side,Entire home/apt,211,52,0.6,3,361
114969,Midtown,Entire home/apt,145,39,0.4,1,0
115535,Harlem,Private room,65,35,0.35,1,283
115678,Harlem,Entire home/apt,99,320,3.23,1,220
115748,Astoria,Entire home/apt,110,30,0.32,1,363
116940,Crown Heights,Entire home/apt,80,225,2.27,4,315
117425,Brooklyn Heights,Entire home/apt,150,95,0.96,1,281
118061,Bedford-Stuyvesant,Entire home/apt,110,70,0.75,1,283
118430,Chelsea,Private room,290,35,0.36,1,20
118680,East Village,Private room,87,0,,1,0
120362,Williamsburg,Entire home/apt,190,50,0.51,1,331
121687,Williamsburg,Entire home/apt,200,29,0.31,1,36
121861,Park Slope,Entire home/apt,165,23,0.23,2,7
123784,Harlem,Entire home/apt,110,142,1.44,2,301
125053,East Village,Entire home/apt,395,70,0.73,1,170
125163,Bedford-Stuyvesant,Private room,99,38,0.54,2,307
125594,Kensington,Private room,39,82,0.94,2,365
126443,East Village,Entire home/apt,189,403,4.1,3,201
126816,Upper West Side,Private room,85,3,0.03,1,0
127387,Gowanus,Entire home/apt,260,3,0.03,1,316
128975,Harlem,Entire home/apt,122,116,1.18,5,271
131154,Greenpoint,Entire home/apt,165,175,1.79,1,139
132516,Forest Hills,Entire home/apt,97,28,1.21,3,209
132570,West Village,Entire home/apt,170,24,0.25,1,0
132695,Williamsburg,Entire home/apt,125,15,0.15,1,0
133025,Murray Hill,Private room,130,105,1.07,1,193
134934,Williamsburg,Entire home/apt,225,22,0.38,1,52
135393,East Flatbush,Private room,50,263,2.69,2,136
135465,Fort Greene,Entire home/apt,170,86,0.91,2,286
135706,Chelsea,Entire home/apt,132,10,0.1,1,0
136493,Park Slope,Entire home/apt,250,18,0.21,1,18
138216,Greenpoint,Entire home/apt,141,8,0.21,1,9
139624,Crown Heights,Entire home/apt,64,70,0.73,1,3
140133,Williamsburg,Entire home/apt,249,150,1.55,1,277
140425,Crown Heights,Private room,79,115,1.18,1,0
140973,East Village,Entire home/apt,185,69,0.71,1,233
141154,Boerum Hill,Entire home/apt,120,232,2.41,1,221
141335,Park Slope,Entire home/apt,495,35,0.41,1,355
141890,Nolita,Entire home/apt,375,18,0.21,1,0
141984,Nolita,Entire home/apt,175,68,0.69,1,277
142069,East Village,Entire home/apt,150,22,0.23,1,0
144087,Harlem,Entire home/apt,259,17,0.17,1,343
144148,East Village,Private room,96,34,0.58,1,0
145064,Williamsburg,Entire home/apt,145,8,0.08,1,0
145188,Chelsea,Entire home/apt,200,0,,1,0
145994,Upper West Side,Entire home/apt,95,2,0.08,1,0
146754,Windsor Terrace,Entire home/apt,250,52,0.72,1,188
147586,Harlem,Entire home/apt,295,74,0.76,2,264
148201,Greenwich Village,Entire home/apt,175,18,0.19,1,0
148259,Williamsburg,Entire home/apt,451,72,0.86,1,331
148825,Upper West Side,Entire home/apt,165,191,2.18,1,236
149287,Upper East Side,Entire home/apt,250,0,,1,0
149777,Woodlawn,Entire home/apt,77,197,2.49,1,309
150804,Lower East Side,Entire home/apt,250,19,0.2,1,0
151199,Astoria,Entire home/apt,129,414,4.34,1,245
151478,Williamsburg,Private room,98,8,0.09,4,0
152071,Park Slope,Entire home/apt,150,0,,1,8
152078,East Village,Private room,95,25,0.3,1,359
152259,Harlem,Private room,55,119,1.22,5,333
152263,Harlem,Entire home/apt,300,203,2.14,3,258
152520,Sunnyside,Private room,42,53,0.55,3,236
153405,Greenpoint,Entire home/apt,125,104,1.09,1,22
153780,East Village,Private room,175,175,1.8,1,236
154934,Harlem,Private room,75,38,0.42,3,365
155296,Williamsburg,Entire home/apt,255,39,0.5,1,89
157673,Bedford-Stuyvesant,Entire home/apt,72,88,0.91,1,164
158061,Bedford-Stuyvesant,Private room,165,27,0.28,4,311
158176,Williamsburg,Entire home/apt,165,117,1.28,1,23
158290,Clinton Hill,Private room,75,43,0.44,2,365
158913,Greenpoint,Entire home/apt,130,4,0.05,1,0
158955,Williamsburg,Entire home/apt,139,385,4,1,222
159749,Bedford-Stuyvesant,Private room,88,64,0.68,3,238
159815,Bedford-Stuyvesant,Private room,80,39,0.41,3,218
159913,Chelsea,Private room,150,37,1.79,1,0
160609,Upper West Side,Entire home/apt,200,10,0.12,1,0
160994,East Village,Entire home/apt,200,103,1.08,1,235
161366,Sunnyside,Private room,42,41,0.43,3,246
161394,Williamsburg,Private room,90,3,0.03,1,0
161996,Harlem,Entire home/apt,295,227,2.33,1,247
162493,Williamsburg,Entire home/apt,450,37,0.79,1,15
162508,Crown Heights,Entire home/apt,130,29,0.35,1,119
163627,Williamsburg,Private room,89,205,2.31,3,0
163809,Harlem,Entire home/apt,198,42,0.44,2,234
163814,East Village,Entire home/apt,99,280,2.92,3,257
163836,Greenpoint,Private room,46,86,0.89,3,350
164989,SoHo,Private room,140,54,0.56,1,221
165080,Carroll Gardens,Entire home/apt,500,7,0.07,1,0
165461,Morningside Heights,Private room,75,57,0.59,2,201
165824,Sunnyside,Private room,33,31,0.32,3,161
166006,Upper West Side,Entire home/apt,250,188,1.94,1,259
166172,Bushwick,Private room,60,480,6.7,1,0
166541,Washington Heights,Private room,75,34,0.35,1,222
166983,Carroll Gardens,Entire home/apt,350,6,0.06,1,0
167013,Chelsea,Entire home/apt,205,3,0.04,2,76
167017,Park Slope,Entire home/apt,219,2,0.03,1,0
167222,Park Slope,Private room,60,20,0.21,6,258
167482,Upper West Side,Entire home/apt,185,129,1.33,1,14
168084,East Village,Entire home/apt,190,147,1.6,1,27
168123,South Slope,Entire home/apt,105,101,1.06,1,167
168546,East Harlem,Entire home/apt,250,11,0.12,2,68
168810,Upper West Side,Entire home/apt,175,11,0.12,1,358
169002,Harlem,Private room,65,41,0.43,2,59
169152,Bedford-Stuyvesant,Entire home/apt,75,87,1.09,1,0
169306,University Heights,Private room,37,117,1.21,1,232
169464,Williamsburg,Entire home/apt,85,86,0.89,2,15
169483,Gravesend,Entire home/apt,106,0,,2,0
170420,East Harlem,Entire home/apt,79,15,0.16,1,0
170761,Fort Greene,Private room,85,35,0.55,2,161
171776,Harlem,Private room,170,17,0.18,2,88
172700,Lower East Side,Private room,115,3,0.04,2,337
172870,Harlem,Private room,89,43,0.47,2,247
173072,Harlem,Shared room,49,168,4.6,1,248
173151,Greenpoint,Private room,91,241,2.49,1,287
173742,Gramercy,Entire home/apt,400,105,1.13,1,304
